Product Name,Units Reimbursed,Number of Prescriptions,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
UNKNOWN,1461545711.8910003,22563523.0,1720630208.3200035,129979404.31
AMOXICILLI,731095216.4159999,7493662.0,63403096.74000009,734699.7799999984
ALBUTEROL,418128116.2669997,6320310.0,191324360.12999988,1736765.0899999999
IBUPROFEN,455957805.25499994,5803438.0,35996265.43000003,579010.26
ATORVASTAT,177134729.928,4913993.0,38425495.91000002,551898.6199999992
LISINOPRIL,181037649.68200004,4634233.0,23836457.08999997,614602.6500000006
GABAPENTIN,394346050.51400006,4146946.0,51756115.579999894,1170739.9700000046
CETIRIZINE,295736030.07000005,4026045.0,26811384.609999876,264051.2800000001
METFORMIN,295655714.9,3946626.0,30403236.870000027,464270.92999999935
FLUTICASON,67375950.413,3931538.0,75156665.0999999,605235.2299999997
OMEPRAZOLE,140054981.36900005,3667025.0,29791826.410000045,951974.38
AMLODIPINE,125067089.22800002,3373809.0,17307003.19,423090.1399999998
ONDANSETRO,54640073.05299999,3180795.0,89517208.69000022,3199288.879999998
LORATADINE,161725796.933,3171333.0,16794448.54000003,266643.45000000007
LEVOTHYROX,112292166.18700004,3126729.0,39163807.6100001,780451.0599999997
MONTELUKAS,102208423.50000001,3105168.0,26806224.08999997,442381.60999999935
SERTRALINE,114670603.81200002,2943091.0,20714704.819999985,703706.4199999989
OSELTAMIVI,171922707.472,2847757.0,227976360.58999994,1550123.54
AZITHROMYC,33370492.107999995,2790715.0,28390274.35999999,543808.3400000009
VITAMIN D2,12186196.022000002,2630216.0,12177190.509999998,231813.81999999992
METOPROLOL,134301472.37600005,2623120.0,21925233.11999995,443620.42999999976
HYDROCODON,140729420.80399996,2604908.0,28206004.08999995,582560.3999999997
TRAZODONE,96791400.69200002,2468181.0,19646967.849999968,498437.5899999997
PREDNISONE,47100816.63699999,2306918.0,16730949.07000001,482513.33999999985
HYDROXYZIN,157054677.421,2247245.0,20378727.169999976,428835.63000000064
FLUOXETINE,88859379.05399999,2111663.0,19640834.61999999,696353.3800000002
CLONIDINE,101530504.35899991,2089055.0,19492256.15000003,449433.3199999992
QUETIAPINE,81535054.77800001,1975966.0,27255466.749999974,579699.420000001
BUPROPION,75835823.662,1892668.0,28481667.50999997,613666.4500000031
PROAIR HFA,18234339.373,1881913.0,142572232.74999994,1309138.5199999998
ESCITALOPR,62778408.82,1835799.0,13949539.099999992,480577.0099999997
HYDROCHLOR,66005108.22699999,1781463.0,6508185.049999997,190013.33999999997
CYCLOBENZA,74736517.494,1654775.0,9147994.790000008,285918.98000000004
PANTOPRAZO,60221786.330000006,1651050.0,14685808.540000008,367027.4199999999
TRIAMCINOL,132588105.19399999,1578762.0,16644390.100000035,409584.0299999999
METHYLPHEN,61613368.436000004,1528274.0,146035998.58999974,3105046.290000001
DEXTROAMPH,68378625.0,1522861.0,50961660.13999992,573887.3499999994
LOSARTAN P,58799326.547000006,1516794.0,10409408.98000001,207481.3900000002
DULOXETINE,55441010.58,1382872.0,20395863.930000048,430252.6199999994
PROMETHAZI,162733897.05700004,1365888.0,17996544.680000063,322066.90999999974
ARIPIPRAZO,42658394.085999995,1358612.0,39462484.080000125,935569.3600000005
